Project Name,Hours,Amount,Date
4836 Enovation Controls : BRP Global Mapping Data,0.75,142.5,6/26/2024
4836 Enovation Controls : BRP Global Mapping Data,6.25,1343.75,7/16/2024
4836 Enovation Controls : BRP Global Mapping Data,5.75,1236.25,7/9/2024
4836 Enovation Controls : BRP Global Mapping Data,1.25,268.75,8/29/2024
4836 Enovation Controls : BRP Global Mapping Data,4.75,1015,8/7/2024
4836 Enovation Controls : BRP Global Mapping Data,6.75,1451.25,7/29/2024
4836 Enovation Controls : BRP Global Mapping Data,6.25,1337.5,7/24/2024
4836 Enovation Controls : BRP Global Mapping Data,6.25,1337.5,7/15/2024
4836 Enovation Controls : BRP Global Mapping Data,0.5,107.5,8/28/2024
4836 Enovation Controls : BRP Global Mapping Data,1,135,9/10/2024
4836 Enovation Controls : BRP Global Mapping Data,4.5,967.5,7/25/2024
4836 Enovation Controls : BRP Global Mapping Data,6.5,1397.5,7/19/2024
4848 Alto Shaam : Q3 Improvements,7,1497.5,9/5/2024
4848 Alto Shaam : Q3 Improvements,1.75,357.5,7/30/2024
4848 Alto Shaam : Q3 Improvements,0.25,50,8/1/2024
4848 Alto Shaam : Q3 Improvements,0.5,100,7/16/2024
4848 Alto Shaam : Q3 Improvements,0.25,50,9/12/2024
4848 Alto Shaam : Q3 Improvements,0.25,50,9/24/2024
4848 Alto Shaam : Q3 Improvements,6,1290,9/6/2024
4848 Alto Shaam : Q3 Improvements,3,600,7/17/2024
4848 Alto Shaam : Q3 Improvements,6.25,1340,9/10/2024
4848 Alto Shaam : Q3 Improvements,2.75,591.25,10/21/2024
4848 Alto Shaam : Q3 Improvements,5.5,1178.75,9/16/2024
4848 Alto Shaam : Q3 Improvements,5.75,1232.5,8/8/2024
4848 Alto Shaam : Q3 Improvements,3.25,698.75,8/16/2024
4848 Alto Shaam : Q3 Improvements,4.75,1017.5,8/29/2024
4848 Alto Shaam : Q3 Improvements,0.5,107.5,10/11/2024
4848 Alto Shaam : Q3 Improvements,2,430,10/28/2024
4848 Alto Shaam : Q3 Improvements,2.25,483.75,10/30/2024
4848 Alto Shaam : Q3 Improvements,0.5,100,9/19/2024
4848 Alto Shaam : Q3 Improvements,4.25,913.75,8/26/2024
4848 Alto Shaam : Q3 Improvements,4,852.5,8/15/2024
4848 Alto Shaam : Q3 Improvements,6,1290,8/9/2024
4848 Alto Shaam : Q3 Improvements,4.5,967.5,8/14/2024
4848 Alto Shaam : Q3 Improvements,3.5,752.5,8/2/2024
4848 Alto Shaam : Q3 Improvements,5.5,1182.5,9/17/2024
4848 Alto Shaam : Q3 Improvements,2.75,387.5,9/3/2024
4848 Alto Shaam : Q3 Improvements,6.5,1397.5,8/20/2024
4848 Alto Shaam : Q3 Improvements,0.25,50,8/21/2024
4848 Alto Shaam : Q3 Improvements,5.5,1182.5,7/31/2024
4848 Alto Shaam : Q3 Improvements,3,645,7/26/2024
4848 Alto Shaam : Q3 Improvements,0.5,100,7/19/2024
4848 Alto Shaam : Q3 Improvements,0.25,50,9/26/2024
4848 Alto Shaam : Q3 Improvements,2.5,533.75,8/28/2024
4848 Alto Shaam : Q3 Improvements,3,645,8/27/2024
4848 Alto Shaam : Q3 Improvements,4,860,8/30/2024
4848 Alto Shaam : Q3 Improvements,0.25,53.75,10/29/2024
4849 Alto Shaam : Security Compliance Changes,5,1075,9/20/2024
4849 Alto Shaam : Security Compliance Changes,5.75,1232.5,10/15/2024
4849 Alto Shaam : Security Compliance Changes,5.5,1182.5,10/14/2024
4849 Alto Shaam : Security Compliance Changes,3,645,12/3/2024
4849 Alto Shaam : Security Compliance Changes,2.25,483.75,10/23/2024
4849 Alto Shaam : Security Compliance Changes,0.5,107.5,9/16/2024
4849 Alto Shaam : Security Compliance Changes,5,1075,10/1/2024
4849 Alto Shaam : Security Compliance Changes,4,860,10/9/2024
4849 Alto Shaam : Security Compliance Changes,6,1290,9/13/2024
4849 Alto Shaam : Security Compliance Changes,5.75,1232.5,10/29/2024
4849 Alto Shaam : Security Compliance Changes,5.25,1125,10/31/2024
4849 Alto Shaam : Security Compliance Changes,5.75,1236.25,9/26/2024
4849 Alto Shaam : Security Compliance Changes,6.75,1451.25,9/18/2024
4849 Alto Shaam : Security Compliance Changes,8,1720,8/5/2024
4849 Alto Shaam : Security Compliance Changes,2.25,483.75,10/2/2024
4849 Alto Shaam : Security Compliance Changes,2,430,10/28/2024
4849 Alto Shaam : Security Compliance Changes,1.5,322.5,11/11/2024
4849 Alto Shaam : Security Compliance Changes,1,215,11/12/2024
4849 Alto Shaam : Security Compliance Changes,7.75,1666.25,9/23/2024
4849 Alto Shaam : Security Compliance Changes,4.75,1021.25,9/19/2024
4849 Alto Shaam : Security Compliance Changes,4.25,910,11/7/2024
4849 Alto Shaam : Security Compliance Changes,4.5,937.5,11/8/2024
4849 Alto Shaam : Security Compliance Changes,2,430,8/1/2024
4849 Alto Shaam : Security Compliance Changes,4.25,910,10/8/2024
4849 Alto Shaam : Security Compliance Changes,7,1505,9/11/2024
4849 Alto Shaam : Security Compliance Changes,7.75,1666.25,9/12/2024
4849 Alto Shaam : Security Compliance Changes,6,1290,10/30/2024
4849 Alto Shaam : Security Compliance Changes,4.5,963.75,10/17/2024
4849 Alto Shaam : Security Compliance Changes,4.25,913.75,10/18/2024
4849 Alto Shaam : Security Compliance Changes,3.5,752.5,12/2/2024
4849 Alto Shaam : Security Compliance Changes,3,645,12/6/2024
4849 Alto Shaam : Security Compliance Changes,4.5,967.5,10/25/2024
4849 Alto Shaam : Security Compliance Changes,3.25,617.5,8/19/2024
4849 Alto Shaam : Security Compliance Changes,7.25,1555,10/10/2024
4849 Alto Shaam : Security Compliance Changes,6.75,1451.25,10/3/2024
4849 Alto Shaam : Security Compliance Changes,4.25,913.75,9/30/2024
4849 Alto Shaam : Security Compliance Changes,5.75,1228.75,10/16/2024
4849 Alto Shaam : Security Compliance Changes,1.5,322.5,9/27/2024
4849 Alto Shaam : Security Compliance Changes,3.5,736.25,10/24/2024
4849 Alto Shaam : Security Compliance Changes,6.5,1397.5,11/6/2024
4849 Alto Shaam : Security Compliance Changes,6,1290,9/4/2024
4849 Alto Shaam : Security Compliance Changes,6,1290,8/21/2024
4849 Alto Shaam : Security Compliance Changes,5.5,1182.5,10/4/2024
4849 Alto Shaam : Security Compliance Changes,7.75,1666.25,9/24/2024
4849 Alto Shaam : Security Compliance Changes,2.5,537.5,11/22/2024
4849 Alto Shaam : Security Compliance Changes,0.5,107.5,7/31/2024
4849 Alto Shaam : Security Compliance Changes,5.25,1128.75,10/11/2024
4849 Alto Shaam : Security Compliance Changes,6.5,1393.75,10/22/2024
4849 Alto Shaam : Security Compliance Changes,4.5,967.5,10/21/2024
4849 Alto Shaam : Security Compliance Changes,1.5,322.5,11/5/2024
4849 Alto Shaam : Security Compliance Changes,4.5,967.5,10/7/2024
4868 Enovation Controls : No Roads Expanded Release,0.75,161.25,9/16/2024
4886 Lohman Technologies : Lohman Invoicing Support,1.5,202.5,11/5/2024
4886 Lohman Technologies : Lohman Invoicing Support,0.75,101.25,10/10/2024
4886 Lohman Technologies : Lohman Invoicing Support,0.25,33.75,10/11/2024
4886 Lohman Technologies : Lohman Invoicing Support,1.75,236.25,10/30/2024
4886 Lohman Technologies : Lohman Invoicing Support,1.5,202.5,11/27/2024
4886 Lohman Technologies : Lohman Invoicing Support,0.25,33.75,10/31/2024
4886 Lohman Technologies : Lohman Invoicing Support,1,167.5,11/4/2024
4886 Lohman Technologies : Lohman Invoicing Support,0.5,67.5,11/11/2024
4886 Lohman Technologies : Lohman Invoicing Support,4,540,11/13/2024
4886 Lohman Technologies : Lohman Invoicing Support,0.25,50,11/20/2024
4886 Lohman Technologies : Lohman Invoicing Support,0.75,101.25,10/8/2024
4886 Lohman Technologies : Lohman Invoicing Support,1.25,168.75,10/7/2024
4886 Lohman Technologies : Lohman Invoicing Support,0.5,67.5,11/14/2024
4886 Lohman Technologies : Lohman Invoicing Support,0.75,101.25,10/15/2024
4902 Alto Shaam : Asiago Driven ChefLinc Changes,4.25,910,12/17/2024
4902 Alto Shaam : Asiago Driven ChefLinc Changes,4.5,963.75,12/31/2024
4902 Alto Shaam : Asiago Driven ChefLinc Changes,5.25,1128.75,12/18/2024
4902 Alto Shaam : Asiago Driven ChefLinc Changes,2.75,591.25,12/30/2024
4902 Alto Shaam : Asiago Driven ChefLinc Changes,3.75,806.25,1/2/2025
4902 Alto Shaam : Asiago Driven ChefLinc Changes,4.25,913.75,12/20/2024
4902 Alto Shaam : Asiago Driven ChefLinc Changes,2.5,537.5,1/3/2025
4902 Alto Shaam : Asiago Driven ChefLinc Changes,6,1290,12/19/2024
4905 Alto Shaam : ChefLinc 2025 Enhancements,0.5,100,12/31/2024
4906 Alto Shaam : ChefLinc Break/Fix Production Support - 2025,3,645,1/3/2025
